OP CODE,OP TYPE,GLOBAL CALL COUNT,DEVICE ID,ATTRIBUTES,MATH FIDELITY,CORE COUNT,PARALLELIZATION STRATEGY,HOST START TS,HOST END TS,HOST DURATION [ns],DEVICE FW START CYCLE,DEVICE FW END CYCLE,OP TO OP LATENCY [ns],DEVICE FW DURATION [ns],DEVICE KERNEL DURATION [ns],DEVICE KERNEL DURATION PER CORE MIN [ns],DEVICE KERNEL DURATION PER CORE MAX [ns],DEVICE KERNEL DURATION PER CORE AVG [ns],DEVICE KERNEL FIRST TO LAST START [ns],DEVICE BRISC KERNEL DURATION [ns],DEVICE NCRISC KERNEL DURATION [ns],DEVICE TRISC0 KERNEL DURATION [ns],DEVICE TRISC1 KERNEL DURATION [ns],DEVICE TRISC2 KERNEL DURATION [ns],DEVICE ERISC KERNEL DURATION [ns],DEVICE COMPUTE CB WAIT FRONT [ns],DEVICE COMPUTE CB RESERVE BACK [ns],INPUT_0_W,INPUT_0_Z,INPUT_0_Y,INPUT_0_X,INPUT_0_LAYOUT,INPUT_0_DATATYPE,INPUT_0_MEMORY,INPUT_1_W,INPUT_1_Z,INPUT_1_Y,INPUT_1_X,INPUT_1_LAYOUT,INPUT_1_DATATYPE,INPUT_1_MEMORY,INPUT_2_W,INPUT_2_Z,INPUT_2_Y,INPUT_2_X,INPUT_2_LAYOUT,INPUT_2_DATATYPE,INPUT_2_MEMORY,OUTPUT_0_W,OUTPUT_0_Z,OUTPUT_0_Y,OUTPUT_0_X,OUTPUT_0_LAYOUT,OUTPUT_0_DATATYPE,OUTPUT_0_MEMORY,METAL TRACE ID,METAL TRACE REPLAY SESSION ID,COMPUTE KERNEL SOURCE,COMPUTE KERNEL HASH,DATA MOVEMENT KERNEL SOURCE,DATA MOVEMENT KERNEL HASH,BRISC MAX KERNEL SIZE [B],NCRISC MAX KERNEL SIZE [B],TRISC 0 MAX KERNEL SIZE [B],TRISC 1 MAX KERNEL SIZE [B],TRISC 2 MAX KERNEL SIZE [B],ERISC MAX KERNEL SIZE [B],PM IDEAL [ns],PM COMPUTE [ns],PM BANDWIDTH [ns],PM REQ I BW,PM REQ O BW,CompileProgram_TT_HOST_FUNC [ns],HWCommandQueue_write_buffer_TT_HOST_FUNC [ns]
Pad,tt_dnn_device,1,0,{'input_tensor_start': 'Shape([0; 0; 3; 0])'; 'output_logical_shape': 'Shape([16; 4; 256; 224])'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=0;y=0) - (x=7;y=7)]};shape={256; 224};orientation=ShardOrientation::ROW_MAJOR;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt))'; 'output_padded_shape': 'Shape([16; 4; 256; 224])'; 'pad_value': '0'; 'use_multicore': 'false'},,64,,5827819549,6131005365,303185816,11723080839714,11723080850247,0,12988,11492,6010,9163,6800,295,11436,4875,,,,,,,16,3,224,224,ROW_MAJOR,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,,,,,,,,,,,,,16,4,256,224,ROW_MAJOR,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,[],[],['ttnn/cpp/ttnn/operations/data_movement/pad/device/kernels/dataflow/reader_pad_dims_rm_sharded.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/pad/device/kernels/dataflow/writer_pad_dims_rm_sharded.cpp'],['reader_pad_dims_rm_sharded/16003768081584307816/'; 'writer_pad_dims_rm_sharded/777912176707420747/'],704,1096,0,0,0,0,1,1,1,[4816896.0],[7340032.0],300804727,17073
Transpose,tt_dnn_device,2,0,{'dim': 'TransposeOpDim::WH'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=0;y=0) - (x=7;y=7)]};shape={256; 224};orientation=ShardOrientation::ROW_MAJOR;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt))'; 'pad_value': '0'},HiFi4,64,,6131105151,6636957119,505851968,11723579469538,11723579482709,614821305,16240,15218,11996,12238,12117,1186,301,7472,13326,13830,14441,,,,16,4,256,224,ROW_MAJOR,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,,,,,,,,,,,,,16,4,224,256,ROW_MAJOR,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,['ttnn/cpp/ttnn/operations/data_movement/transpose/device/kernels/compute/transpose_wh_rm.cpp'],['transpose_wh_rm/8191961343035905388/'],['ttnn/cpp/ttnn/operations/data_movement/transpose/device/kernels/dataflow/reader_unary_transpose_wh_sharded_rm.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/transpose/device/kernels/dataflow/writer_unary_transpose_wh_sharded_rm.cpp'],['reader_unary_transpose_wh_sharded_rm/3289472369719674291/'; 'writer_unary_transpose_wh_sharded_rm/7254106691709325529/'],328,736,1816,1640,4636,0,1,1,1,[7340032.0],[7340032.0],504350210,19740
Pad,tt_dnn_device,3,0,{'input_tensor_start': 'Shape([0; 0; 3; 0])'; 'output_logical_shape': 'Shape([16; 4; 256; 256])'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=0;y=0) - (x=7;y=7)]};shape={256; 256};orientation=ShardOrientation::ROW_MAJOR;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt))'; 'output_padded_shape': 'Shape([16; 4; 256; 256])'; 'pad_value': '0'; 'use_multicore': 'false'},,64,,6637080648,6952045516,314964868,11723889951922,11723889959333,382824261,9138,7634,6011,6025,6017,268,7578,6055,,,,,,,16,4,224,256,ROW_MAJOR,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,,,,,,,,,,,,,16,4,256,256,ROW_MAJOR,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,[],[],['ttnn/cpp/ttnn/operations/data_movement/pad/device/kernels/dataflow/reader_pad_dims_rm_sharded.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/pad/device/kernels/dataflow/writer_pad_dims_rm_sharded.cpp'],['reader_pad_dims_rm_sharded/17702842367774055297/'; 'writer_pad_dims_rm_sharded/7334787578824831274/'],704,1080,0,0,0,0,1,1,1,[7340032.0],[8388608.0],308350312,21640
Transpose,tt_dnn_device,4,0,{'dim': 'TransposeOpDim::HC'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=0;y=0) - (x=7;y=7)]};shape={256; 256};orientation=ShardOrientation::ROW_MAJOR;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt))'; 'pad_value': '0'},,64,,6952165359,7290701455,338536096,11724223721617,11724223734763,411545605,16210,14725,8282,11942,10788,277,14673,13702,,,,,,,16,4,256,256,ROW_MAJOR,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,,,,,,,,,,,,,16,256,4,256,ROW_MAJOR,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,[],[],['ttnn/cpp/ttnn/operations/data_movement/transpose/device/kernels/dataflow/reader_unary_transpose_hc_sharded_rm.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/transpose/device/kernels/dataflow/writer_unary_transpose_hc_sharded_rm.cpp'],['reader_unary_transpose_hc_sharded_rm/3814276544918290226/'; 'writer_unary_transpose_hc_sharded_rm/15028060472692034305/'],916,956,0,0,0,0,1,1,1,[8388608.0],[8388608.0],332427780,22063
Transpose,tt_dnn_device,5,0,{'dim': 'TransposeOpDim::WH'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=0;y=0) - (x=7;y=7)]};shape={256; 256};orientation=ShardOrientation::ROW_MAJOR;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt))'; 'pad_value': '0'},HiFi4,64,,7290850418,7817571584,526721166,11724742910747,11724742969165,640168615,72032,71043,57230,57565,57392,1243,330,64633,69564,70382,70327,,,,16,128,8,256,ROW_MAJOR,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,,,,,,,,,,,,,16,128,256,8,ROW_MAJOR,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,['ttnn/cpp/ttnn/operations/data_movement/transpose/device/kernels/compute/transpose_wh_rm.cpp'],['transpose_wh_rm/14846497584255837277/'],['ttnn/cpp/ttnn/operations/data_movement/transpose/device/kernels/dataflow/reader_unary_transpose_wh_sharded_rm.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/transpose/device/kernels/dataflow/writer_unary_transpose_wh_sharded_rm.cpp'],['reader_unary_transpose_wh_sharded_rm/615315334131910440/'; 'writer_unary_transpose_wh_sharded_rm/1603987952362007287/'],328,724,1816,1940,4336,0,1,1,1,[8388608.0],[8388608.0],525129521,21478
Transpose,tt_dnn_device,6,0,{'dim': 'TransposeOpDim::HC'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=0;y=0) - (x=7;y=7)]};shape={4096; 16};orientation=ShardOrientation::ROW_MAJOR;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt))'; 'pad_value': '0'},,64,,7817722384,8162249745,344527361,11725082645828,11725082695129,418838370,60790,59284,40223,47986,43751,263,59224,52655,,,,,,,16,128,128,16,ROW_MAJOR,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,,,,,,,,,,,,,16,128,128,16,ROW_MAJOR,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,[],[],['ttnn/cpp/ttnn/operations/data_movement/transpose/device/kernels/dataflow/reader_unary_transpose_hc_sharded_rm.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/transpose/device/kernels/dataflow/writer_unary_transpose_hc_sharded_rm.cpp'],['reader_unary_transpose_hc_sharded_rm/2130137436304660758/'; 'writer_unary_transpose_hc_sharded_rm/17610091786382554252/'],916,956,0,0,0,0,1,1,1,[8388608.0],[8388608.0],319181738,21453
SliceDeviceOperation,tt_dnn_device,7,0,{'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=0;y=0) - (x=7;y=7)]};shape={3328; 16};orientation=ShardOrientation::ROW_MAJOR;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt))'; 'slice_end': 'Shape([16; 115; 115; 16])'; 'slice_start': 'Shape([0; 0; 0; 0])'; 'step': 'Shape([1; 1; 1; 1])'},,64,,8162369035,8506930633,344561598,11725422462761,11725422473643,418950515,13418,11871,2392,9475,5705,236,,11871,,,,,,,16,128,128,16,ROW_MAJOR,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,,,,,,,,,,,,,16,115,115,16,ROW_MAJOR,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,[],[],['ttnn/cpp/ttnn/operations/data_movement/slice/device/kernels/dataflow/slice_reader_unary_unpad_dims_rm_sharded.cpp'],['slice_reader_unary_unpad_dims_rm_sharded/17611977444194818733/'],0,1056,0,0,0,0,1,1,1,[8388608.0],[6771200.0],324560933,32154
HaloDeviceOperation,tt_dnn_device,8,0,{'config_': 'SlidingWindowConfig(batch_size=16; input_hw=(115;115); window_hw=(4;4); stride_hw=(1;1); pad_hw=(0;0); dilation_hw=(1;1); num_cores_nhw=64; num_cores_c=1; core_range_set_={[(x=0;y=0) - (x=7;y=7)]})'; 'is_out_tiled_': 'true'; 'max_out_nsticks_per_core_': '3565'; 'output_memory_config_': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=0;y=0) - (x=7;y=7)]};shape={3328; 16};orientation=ShardOrientation::ROW_MAJOR;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt))'; 'pad_val_': '0'; 'parallel_config_': 'ParallelConfig(grid={[(x=0;y=0) - (x=7;y=7)]}; shard_scheme=HEIGHT_SHARDED; shard_orientation=ROW_MAJOR)'; 'remote_read_': 'false'; 'reshard_num_cores_nhw_': '0'; 'transpose_mcast_': 'false'},,64,,8510927758,8858301708,347373950,11725768485869,11725768501021,426650459,18683,17076,2530,13701,6155,318,5459,17076,,,,,,,1,1,211600,16,ROW_MAJOR,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,,,,,,,,,,,,,1,1,228160,16,ROW_MAJOR,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,[],[],['ttnn/cpp/ttnn/operations/data_movement/untilize_with_halo_v2/device/kernels/dataflow/halo_gather.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/untilize_with_halo_v2/device/kernels/dataflow/halo_gather.cpp'],['halo_gather/3240652492820075695/'; 'halo_gather/12266856119943731943/'],1056,1328,0,0,0,0,1,1,1,[6771200.0],[7301120.0],330072894,282431
OptimizedConvNew,tt_dnn_device,9,0,{'block_config': 'OptimizedConvBlockConfig(act_block_h_ntiles=49;act_block_w_ntiles=2;out_subblock_h_ntiles=1;out_subblock_w_ntiles=2)'; 'compute_kernel_config': 'WormholeComputeKernelConfig(math_fidelity=LoFi;math_approx_mode=1;fp32_dest_acc_en=0;packer_l1_acc=1;dst_full_sync_en=0)'; 'dtype': 'DataType::BFLOAT8_B'; 'enable_act_double_buffer': 'true'; 'enable_split_reader': 'true'; 'enable_subblock_padding': 'false'; 'enable_weights_double_buffer': 'false'; 'fuse_relu': 'true'; 'has_bias': 'true'; 'input_tensor_shape': '{16; 115; 115; 16}'; 'memory_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=0;y=0) - (x=7;y=7)]};shape={3136; 64};orientation=ShardOrientation::ROW_MAJOR;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt))'; 'output_channels': '64'; 'parallelization_config': 'OptimizedConvParallelizationConfig(grid_size=(x=8;y=8);num_cores_nhw=64;num_cores_c=1;per_core_out_matrix_height_ntile=98;per_core_out_matrix_width_ntile=2)'; 'sliding_window_config': 'SlidingWindowConfig(batch_size=16; input_hw=(115;115); window_hw=(4;4); stride_hw=(1;1); pad_hw=(0;0); dilation_hw=(1;1); num_cores_nhw=64; num_cores_c=1; core_range_set_={[(x=0;y=0) - (x=7;y=7)]})'; 'untilize_out': 'false'; 'use_shallow_conv_variant': 'true'},LoFi,64,,8858418734,9450455238,592036504,11726351950115,11726352127536,719421326,218768,216824,173344,175732,173894,1138,216809,189043,216444,216346,216631,,,,1,1,228160,16,ROW_MAJOR,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,1,1,256,64,TILE,BFLOAT8_B,DEV_0_DRAM_INTERLEAVED,1,1,32,64,TILE,BFLOAT8_B,DEV_0_DRAM_INTERLEAVED,1,1,200704,64,TILE,BFLOAT8_B,DEV_0_L1_HEIGHT_SHARDED,,,['ttnn/cpp/ttnn/operations/conv/conv2d/device/kernels/conv_bmm_tilize_col_major_out_blocks.cpp'],['conv_bmm_tilize_col_major_out_blocks/17766401106290623555/'],['ttnn/cpp/ttnn/operations/conv/conv2d/device/kernels/reader_writer_tiled_out_1d_mcast_sender_conv_weights_tiled_col_to_rm_blocks.cpp'; 'ttnn/cpp/ttnn/operations/conv/conv2d/device/kernels/reader_writer_tiled_out_1d_mcast_receiver_conv_weights_tiled_col_to_rm_blocks.cpp'; 'ttnn/cpp/ttnn/operations/conv/conv2d/device/kernels/reader_conv_activations_padded_with_halo_3x3_weights_v2.cpp'],['reader_writer_tiled_out_1d_mcast_sender_conv_weights_tiled_col_to_rm_blocks/10082350166703326734/'; 'reader_writer_tiled_out_1d_mcast_receiver_conv_weights_tiled_col_to_rm_blocks/16373193054214220834/'; 'reader_conv_activations_padded_with_halo_3x3_weights_v2/931771139735993816/'],2164,944,3460,1984,4080,0,25088,25088,59,[291.0204162597656; 0.6530612111091614],[512.0],585349714,251351
HaloDeviceOperation,tt_dnn_device,10,0,{'config_': 'SlidingWindowConfig(batch_size=16; input_hw=(112;112); window_hw=(3;3); stride_hw=(2;2); pad_hw=(1;1); dilation_hw=(1;1); num_cores_nhw=64; num_cores_c=1; core_range_set_={[(x=0;y=0) - (x=7;y=7)]})'; 'is_out_tiled_': 'false'; 'max_out_nsticks_per_core_': '3305'; 'output_memory_config_': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=0;y=0) - (x=7;y=7)]};shape={3136; 64};orientation=ShardOrientation::ROW_MAJOR;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt))'; 'pad_val_': '65408'; 'parallel_config_': 'ParallelConfig(grid={[(x=0;y=0) - (x=7;y=7)]}; shard_scheme=HEIGHT_SHARDED; shard_orientation=ROW_MAJOR)'; 'remote_read_': 'false'; 'reshard_num_cores_nhw_': '0'; 'transpose_mcast_': 'false'},HiFi4,64,,9451519078,9945331958,493812880,11726839812350,11726839842132,601338583,36723,35752,28658,28931,28785,957,35072,23142,18682,19089,19289,,,,1,1,200704,64,TILE,BFLOAT8_B,DEV_0_L1_HEIGHT_SHARDED,,,,,,,,,,,,,,,1,1,211520,64,ROW_MAJOR,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,['ttnn/cpp/ttnn/operations/data_movement/untilize/device/kernels/compute/pack_untilize.cpp'],['pack_untilize/7300883904186965843/'],['ttnn/cpp/ttnn/operations/data_movement/untilize_with_halo_v2/device/kernels/dataflow/halo_gather.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/untilize_with_halo_v2/device/kernels/dataflow/halo_gather.cpp'],['halo_gather/18442703472783431333/'; 'halo_gather/4322203078491615469/'],1048,1332,1096,680,2056,0,1,1,1,[12845056.0],[27074560.0],474163740,312704
